"Stkcd","Reptdt","Shrcr1","Shrcr4"
"000059","2022-12-31","27.1623","53.7746"
"000060","2014-12-31","31.7311","45.4663"
"000060","2015-12-31","29.5844","45.5904"
"000060","2016-12-31","29.5844","45.8130"
"000060","2017-12-31","27.5064","42.1843"
"000060","2018-12-31","27.5064","40.9520"
"000060","2019-12-31","27.5064","41.7192"
"000060","2020-12-31","27.5064","41.4852"
"000060","2021-12-31","32.8806","39.5530"
"000060","2022-12-31","34.9001","42.3440"
"000063","2014-12-31","30.7834","53.2272"
"000063","2015-12-31","30.5925","56.6528"
"000063","2016-12-31","30.3451","56.3410"
"000063","2017-12-31","30.3355","54.7078"
"000063","2018-12-31","30.3355","53.2700"
"000063","2019-12-31","27.1754","51.7907"
"000063","2020-12-31","22.4449","46.8652"
"000063","2021-12-31","21.3046","46.2969"
"000063","2022-12-31","21.2807","46.9655"
"000063","2023-12-31","20.0905","43.1503"
"000066","2014-12-31","53.9174","57.5413"
"000066","2015-12-31","53.9174","56.6849"
"000066","2016-12-31","53.9174","57.3073"
"000066","2017-12-31","40.9083","44.6009"
"000066","2018-12-31","40.7493","45.4640"
"000066","2019-12-31","40.5877","49.9114"
"000066","2020-12-31","41.5097","47.9554"
"000066","2021-12-31","41.3659","46.6622"
"000066","2022-12-31","39.3454","48.4604"
"000070","2014-12-31","45.3289","56.3457"
"000070","2015-12-31","39.1841","57.7351"
"000070","2016-12-31","39.1841","58.9962"
"000070","2017-12-31","39.1841","57.0162"
"000070","2018-12-31","39.1841","56.8594"
"000070","2019-12-31","36.1740","47.3648"
"000070","2020-12-31","36.1042","46.5935"
"000070","2021-12-31","37.0702","45.0241"
"000070","2022-12-31","37.3153","44.6497"
"000100","2014-12-31","8.7869","22.9866"
"000100","2015-12-31","7.1835","35.9135"
"000100","2016-12-31","7.1921","39.0752"
"000100","2017-12-31","7.8420","40.6509"
"000100","2018-12-31","7.8227","37.9824"
"000100","2019-12-31","9.0310","29.5658"
"000100","2020-12-31","8.2576","30.1491"
"000100","2021-12-31","8.2576","27.7592"
"000100","2022-12-31","6.7894","22.9644"
"000153","2014-12-31","11.4827","40.6719"
"000153","2015-12-31","11.4827","34.7958"
"000153","2016-12-31","11.4827","35.4058"
"000153","2017-12-31","11.3039","34.3054"
"000153","2018-12-31","11.3039","36.5366"
"000153","2019-12-31","11.4827","35.5623"
"000153","2020-12-31","11.4827","34.4567"
"000153","2021-12-31","11.4827","37.7619"
"000153","2022-12-31","10.7922","31.3846"
"000157","2014-12-31","18.5267","49.6885"
"000157","2015-12-31","18.0802","51.6022"
"000157","2016-12-31","18.0789","51.9202"
"000157","2017-12-31","17.7793","50.7382"
"000157","2018-12-31","17.7443","51.1783"
"000157","2019-12-31","17.6033","61.6354"
"000157","2020-12-31","17.4547","62.6103"
"000157","2021-12-31","18.1958","55.5378"
"000157","2022-12-31","18.1908","55.0420"
"000301","2014-12-31","36.6935","38.5998"
"000301","2015-12-31","37.4487","39.6572"
"000301","2016-12-31","26.5115","39.3004"
"000301","2017-12-31","26.5115","39.2368"
"000301","2018-12-31","68.7066","81.9753"
"000301","2019-12-31","68.7066","82.3561"
"000301","2020-12-31","57.2555","82.4523"
"000301","2021-12-31","57.2544","80.3931"
"000301","2022-12-31","41.8718","76.5144"
"000333","2014-12-31","35.4914","55.7498"
"000333","2015-12-31","35.0669","56.8482"
"000333","2016-12-31","34.7493","49.5223"
"000333","2017-12-31","33.7148","56.2777"
"000333","2018-12-31","33.3798","59.8146"
"000333","2019-12-31","31.7280","60.0478"
"000333","2020-12-31","30.8561","56.5073"
"000333","2021-12-31","31.0479","58.8588"
"000333","2022-12-31","31.0003","61.1386"
"000338","2014-12-31","24.2218","56.7934"
"000338","2015-12-31","24.2256","57.1464"
"000338","2016-12-31","24.2217","54.1164"
"000338","2017-12-31","24.2282","53.6578"
"000338","2018-12-31","24.2328","57.0474"
"000338","2019-12-31","24.4320","58.2499"
"000338","2020-12-31","24.4331","63.0311"
