"Stkcd","ShortName","Accper","Typrep","Bbd1102101","B001302000","B001301000","B001300000"
"000050","深天马A","2014-12-31","A","0.00","-39020240.00","0.00","156060965.00"
"000050","深天马A","2015-12-31","A","0.00","-3239448.00","0.00","18992079.00"
"000050","深天马A","2016-12-31","A","0.00","7663454.67","0.00","355693993.11"
"000050","深天马A","2017-12-31","A","","-37943077.00","","884448385.63"
"000050","深天马A","2018-12-31","A","","120379628.98","","983546293.90"
"000050","深天马A","2019-12-31","A","","242908.51","","1003532358.85"
"000050","深天马A","2020-12-31","A","","237414.33","","1615488098.12"
"000050","深天马A","2021-12-31","A","","-9697039.16","","1622631554.80"
"000050","深天马A","2022-12-31","A","","-92799241.47","","129034526.94"
"000050","深天马A","2023-12-31","A","","-351609225.94","","-1926188731.39"
"000055","方大集团","2014-12-31","A","0.00","1720693.98","32044747.10","104525345.15"
"000055","方大集团","2015-12-31","A","0.00","280949.87","89746065.58","91990856.70"
"000055","方大集团","2016-12-31","A","","61228848.36","16862823.13","848594163.22"
"000055","方大集团","2017-12-31","A","","102891113.42","892408648.26","1424533211.16"
"000055","方大集团","2018-12-31","A","","27776084.43","2913858560.57","2969964722.64"
"000055","方大集团","2019-12-31","A","","-1909644.55","42618039.60","418141980.49"
"000055","方大集团","2020-12-31","A","","1274767.24","19221299.32","501940906.02"
"000055","方大集团","2021-12-31","A","","-1459334.05","23422035.73","271762350.90"
"000055","方大集团","2022-12-31","A","","6185954.47","-10113947.45","329993900.28"
"000059","华锦股份","2014-12-31","A","0.00","275798.17","0.00","-1532082286.41"
"000059","*ST 华锦","2015-12-31","A","0.00","313004806.46","0.00","307220411.85"
"000059","华锦股份","2016-12-31","A","","136860840.26","","2260416641.97"
"000059","华锦股份","2017-12-31","A","","205278943.47","","2594611755.01"
"000059","华锦股份","2018-12-31","A","","41470330.56","","1379103015.95"
"000059","华锦股份","2019-12-31","A","","5743196.10","116595.41","1208679681.02"
"000059","华锦股份","2020-12-31","A","","11077325.04","","320007874.71"
"000059","华锦股份","2021-12-31","A","","12299213.32","","1125447368.23"
"000059","华锦股份","2022-12-31","A","","4475260.25","","794418526.12"
"000060","中金岭南","2014-12-31","A","13815577.47","51298419.13","810659.78","277260358.56"
"000060","中金岭南","2015-12-31","A","12440972.56","225440168.27","83754175.41","95046364.75"
"000060","中金岭南","2016-12-31","A","13918447.43","-56256824.63","-35730516.99","373575895.43"
"000060","中金岭南","2017-12-31","A","18388251.45","83623712.52","-16880460.39","1497729379.19"
"000060","中金岭南","2018-12-31","A","24785750.80","111187135.99","-11847661.68","1324939918.19"
"000060","中金岭南","2019-12-31","A","25232081.89","213261757.25","151619021.25","1039754176.91"
"000060","中金岭南","2020-12-31","A","12919219.75","188114902.25","-69656617.29","878218024.11"
"000060","中金岭南","2021-12-31","A","10333526.97","318432014.11","-28151006.17","1511109922.49"
"000060","中金岭南","2022-12-31","A","12917591.82","61508074.87","-130713513.49","1388740399.73"
"000063","中兴通讯","2014-12-31","A","0.00","134474000.00","148282000.00","60328000.00"
"000063","中兴通讯","2015-12-31","A","0.00","695619000.00","-183682000.00","320471000.00"
"000063","中兴通讯","2016-12-31","A","","1640279000.00","29978000.00","1165548000.00"
"000063","中兴通讯","2017-12-31","A","","2540328000.00","58301000.00","6752930000.00"
"000063","中兴通讯","2018-12-31","A","","294486000.00","-861259000.00","-611951000.00"
"000063","中兴通讯","2019-12-31","A","","249445000.00","-213992000.00","7552182000.00"
"000063","中兴通讯","2020-12-31","A","","906406000.00","39023000.00","5470720000.00"
"000063","中兴通讯","2021-12-31","A","","1564193000.00","1099364000.00","8676105000.00"
"000063","中兴通讯","2022-12-31","A","","1087498000.00","-1141849000.00","8794834000.00"
"000063","中兴通讯","2023-12-31","A","","-205027000.00","-702284000.00","10258379000.00"
"000066","长城电脑","2014-12-31","A","0.00","260470014.10","394705275.79","-693809365.15"
"000066","长城电脑","2015-12-31","A","0.00","901059903.57","232068657.25","-175445664.30"
"000066","长城电脑","2016-12-31","A","","74350623.66","-50204622.59","336655341.06"
"000066","中国长城","2017-12-31","A","","308287176.15","","792310071.62"
"000066","中国长城","2018-12-31","A","","812526935.32","","1327734858.80"
"000066","中国长城","2019-12-31","A","","8827041.99","279371153.85","1347059665.97"
"000066","中国长城","2020-12-31","A","","95097729.34","-92968235.45","1046143093.98"
"000066","中国长城","2021-12-31","A","","378038925.23","-61804294.17","740938945.91"
"000066","中国长城","2022-12-31","A","","64459546.69","-34480960.83","286628213.07"
"000070","特发信息","2014-12-31","A","0.00","3269354.76","0.00","81776067.20"
"000070","特发信息","2015-12-31","A","","477734.56","","-279437116.30"
"000070","特发信息","2016-12-31","A","","284459.35","","152129309.61"
"000070","特发信息","2017-12-31","A","","349600.42","","283316575.45"
"000070","特发信息","2018-12-31","A","","1215655.48","2431840.28","343677169.75"
"000070","特发信息","2019-12-31","A","","1603929.14","60111501.92","431180491.04"
"000070","特发信息","2020-12-31","A","","10726855.72","151912781.40","170328434.03"
"000070","特发信息","2021-12-31","A","","41960809.66","","-604269161.60"
"000070","特发信息","2022-12-31","A","","139476615.81","919840.36","57135537.89"
"000100","TCL集团","2014-12-31","A","267945000.00","773495000.00","85896000.00","2113249000.00"
"000100","TCL集团","2015-12-31","A","298149000.00","1709882000.00","-192802000.00","1340700000.00"
"000100","TCL集团","2016-12-31","A","144358000.00","2345601000.00","-12268000.00","128536000.00"
"000100","TCL集团","2017-12-31","A","150080000.00","2438692000.00","309429000.00","4112924000.00"
"000100","TCL集团","2018-12-31","A","87362000.00","2167254000.00","-3879000.00","4092202000.00"
"000100","TCL集团","2019-12-31","A","144720000.00","3442554000.00","473673000.00","3976839000.00"
"000100","TCL科技","2020-12-31","A","153163000.00","3254404000.00","672793000.00","5359904000.00"
"000100","TCL科技","2021-12-31","A","150083000.00","3904526000.00","-146584000.00","17352567000.00"
"000100","TCL科技","2022-12-31","A","79360000.00","4731394000.00","-139244000.00","419010000.00"
"000153","丰原药业","2014-12-31","A","0.00","10967114.69","0.00","45910982.63"
"000153","丰原药业","2015-12-31","A","0.00","6934311.90","0.00","30229290.67"
"000153","丰原药业","2016-12-31","A","","7363020.59","1040869.62","62868865.44"
"000153","丰原药业","2017-12-31","A","","7263713.03","-1964446.16","96137186.84"
"000153","丰原药业","2018-12-31","A","","2953007.49","-5597279.14","92545444.45"
"000153","丰原药业","2019-12-31","A","","10162517.97","2737629.29","124105870.53"
"000153","丰原药业","2020-12-31","A","","18600762.75","-1069955.54","130554531.56"
"000153","丰原药业","2021-12-31","A","","330701.34","9398928.81","146028089.61"
"000153","丰原药业","2022-12-31","A","","3742202.02","11080248.72","202097829.55"
"000157","中联重科","2014-12-31","A","0.00","10840292.86","-11774410.55","662921762.34"
"000157","中联重科","2015-12-31","A","0.00","83377146.21","-16553316.92","-605136535.06"
"000157","中联重科","2016-12-31","A","0.00","-24485097.81","155786925.77","-1803451229.20"
"000157","中联重科","2017-12-31","A","","10950113350.78","-65846285.08","1217777901.09"
"000157","中联重科","2018-12-31","A","","871097045.05","32647979.46","2601157680.05"
"000157","中联重科","2019-12-31","A","","945809893.66","21895284.17","5013923089.59"
"000157","中联重科","2020-12-31","A","","795932507.57","65803812.92","8537058253.50"
"000157","中联重科","2021-12-31","A","","300446345.75","64633067.71","7231108313.73"
"000157","中联重科","2022-12-31","A","","309398772.38","-11212576.12","2386307454.13"
"000301","东方市场","2014-12-31","A","0.00","18257151.72","0.00","300349456.11"
"000301","东方市场","2015-12-31","A","0.00","7373158.45","0.00","256202363.60"
"000301","东方市场","2016-12-31","A","","6511852.15","","208433975.77"
"000301","东方市场","2017-12-31","A","","56032961.77","","246057244.97"
"000301","东方盛虹","2018-12-31","A","","6221466.80","","1102464368.18"
"000301","东方盛虹","2019-12-31","A","","133977556.02","15940216.36","1897648283.51"
"000301","东方盛虹","2020-12-31","A","","112194042.82","-52914770.50","424268987.74"
"000301","东方盛虹","2021-12-31","A","","-22845888.62","19602121.17","6016754081.25"
"000301","东方盛虹","2022-12-31","A","","-29840840.28","-2814626.02","415629032.26"
"000333","美的集团","2014-12-31","A","632524670.00","1511122200.00","-652790540.00","13450503680.00"
"000333","美的集团","2015-12-31","A","900161000.00","2011269000.00","81611000.00","14916873000.00"
"000333","美的集团","2016-12-31","A","789414000.00","1285961000.00","117376000.00","17435975000.00"
"000333","美的集团","2017-12-31","A","1206582000.00","1830221000.00","-25045000.00","21627854000.00"
"000333","美的集团","2018-12-31","A","2154392000.00","907326000.00","-810450000.00","25564111000.00"
"000333","美的集团","2019-12-31","A","1163180000.00","164132000.00","1361163000.00","29683092000.00"
"000333","美的集团","2020-12-31","A","1488211000.00","2362462000.00","1762950000.00","31493457000.00"
"000333","美的集团","2021-12-31","A","2127043000.00","2365773000.00","-166406000.00","33281195000.00"
"000333","美的集团","2022-12-31","A","1790454000.00","208054000.00","-251171000.00","34763272000.00"
"000338","潍柴动力","2014-12-31","A","0.00","1714840638.18","-156271038.41","6590047408.62"
"000338","潍柴动力","2015-12-31","A","0.00","114954618.74","-23353073.10","2578121040.54"
"000338","潍柴动力","2016-12-31","A","","120490092.49","-155320838.99","4118307564.09"
"000338","潍柴动力","2017-12-31","A","","153922745.85","100768888.41","10384903874.50"
"000338","潍柴动力","2018-12-31","A","","464812907.17","177062305.75","13603725502.29"
"000338","潍柴动力","2019-12-31","A","","694686304.10","71259465.16","14155892681.79"
"000338","潍柴动力","2020-12-31","A","","1294912961.65","-409598297.43","12460726416.04"
"000338","潍柴动力","2021-12-31","A","","442083057.70","395921311.86","13888991437.88"
"000338","潍柴动力","2022-12-31","A","","243040509.28","1010505916.64","5834032544.90"
"000400","许继电气","2014-12-31","A","0.00","-635664.16","0.00","1321222749.25"
"000400","许继电气","2015-12-31","A","0.00","-2846974.51","0.00","785509060.57"
"000400","许继电气","2016-12-31","A","","3327366.74","","967050215.90"
"000400","许继电气","2017-12-31","A","","296596.81","","788648115.63"
"000400","许继电气","2018-12-31","A","","73932.94","","308415487.72"
"000400","许继电气","2019-12-31","A","","46130.31","","550916740.51"
"000400","许继电气","2020-12-31","A","","1039632.76","","888083757.75"
"000400","许继电气","2021-12-31","A","","550870.91","","924132104.08"
"000400","许继电气","2022-12-31","A","","-3635120.36","","1072193329.65"
"000401","冀东水泥","2014-12-31","A","0.00","15907818.71","74532001.50","-838703823.19"
"000401","冀东水泥","2015-12-31","A","0.00","951135994.64","-157000482.19","-1987990322.59"
"000401","冀东水泥","2016-12-31","A","","557643978.93","-126803230.00","-437279160.18"
"000401","冀东水泥","2017-12-31","A","","-200992705.91","199257447.92","377301699.71"
"000401","冀东水泥","2018-12-31","A","","64242505.61","41395732.92","3435913957.80"
"000401","冀东水泥","2019-12-31","A","","345967600.51","23388244.31","6307076908.11"
"000401","冀东水泥","2020-12-31","A","","439746171.57","","6755370198.50"
"000401","冀东水泥","2021-12-31","A","","464372421.98","","4985239534.31"
"000401","冀东水泥","2022-12-31","A","","151937543.03","","1733425568.88"
"000403","ST 生化","2014-12-31","A","0.00","30874182.48","0.00","100251161.68"
"000403","ST 生化","2015-12-31","A","0.00","0.00","0.00","68317977.57"
"000403","ST 生化","2016-12-31","A","","3196393.81","","50843413.86"
"000403","ST 生化","2017-12-31","A","","","","83636221.27"
"000403","振兴生化","2018-12-31","A","","1864590.23","","93462560.58"
"000403","双林生物","2019-12-31","A","","6646240.28","","180038101.48"
"000403","双林生物","2020-12-31","A","","","","220295943.43"
"000403","派林生物","2021-12-31","A","","3701013.45","74208055.68","460427443.50"
"000403","派林生物","2022-12-31","A","","3037839.67","4929120.51","663429496.09"
"000404","华意压缩","2014-12-31","A","0.00","19023699.95","3673209.17","323159287.16"
"000404","华意压缩","2015-12-31","A","0.00","49664908.70","-13431706.22","372081065.39"
"000404","华意压缩","2016-12-31","A","","48805648.04","9762899.57","438104349.81"
"000404","华意压缩","2017-12-31","A","","50535233.93","-17952557.92","244329645.62"
"000404","长虹华意","2018-12-31","A","","41693014.05","23018090.40","199996425.04"
"000404","长虹华意","2019-12-31","A","","39123364.32","-3589207.46","120493818.95"
"000404","长虹华意","2020-12-31","A","","50996482.97","9766273.84","208588351.27"
"000404","长虹华意","2021-12-31","A","","140909259.68","20854112.82","326124928.49"
"000404","长虹华意","2022-12-31","A","","60325748.59","-26706604.86","459874428.31"
"000408","金谷源","2014-12-31","A","0.00","-5170753.32","0.00","-55076190.83"
"000408","金谷源","2015-12-31","A","0.00","-3430653.64","0.00","-58689891.69"
"000408","*ST 金源","2016-12-31","A","","13431699.20","","1085540621.08"
"000408","藏格控股","2017-12-31","A","","11438613.00","","1449675858.38"
"000408","藏格控股","2018-12-31","A","","11430000.00","","1020052846.02"
"000408","藏格控股","2019-12-31","A","","-157120276.85","","433355574.56"
"000408","*ST 藏格","2020-12-31","A","","-93592147.37","","339355198.95"
"000408","藏格矿业","2021-12-31","A","","230991243.13","-3125348.66","1796197631.45"
"000408","藏格矿业","2022-12-31","A","","691829840.94","-1500815.02","6632185351.70"
"000410","沈阳机床","2014-12-31","A","0.00","-1382943.53","0.00","-50638397.18"
"000410","沈阳机床","2015-12-31","A","0.00","-2167401.26","0.00","-802049405.45"
"000410","沈阳机床","2016-12-31","A","","2367672.87","","-1524601145.60"
"000410","*ST 沈机","2017-12-31","A","","1242719260.01","","-86104223.02"
"000410","沈阳机床","2018-12-31","A","","-1218449.85","","-771039875.42"
"000410","*ST 沈机","2019-12-31","A","","7713743438.08","","-3038994333.12"
"000410","*ST 沈机","2020-12-31","A","","100732064.29","","-705622762.66"
"000410","ST 沈机","2021-12-31","A","","43252802.27","","-775088137.85"
"000410","*ST 沈机","2022-12-31","A","","156874806.51","","36101176.30"
"000413","东旭光电","2014-12-31","A","0.00","0.00","0.00","644057749.34"
"000413","东旭光电","2015-12-31","A","0.00","4147238.73","0.00","1073208894.17"
"000413","东旭光电","2016-12-31","A","","553208.83","","1176053114.90"
"000413","东旭光电","2017-12-31","A","","63704853.98","","2279239188.79"
"000413","东旭光电","2018-12-31","A","","80925191.79","","2727661061.82"
"000413","东旭光电","2019-12-31","A","","103317365.60","","-1246577776.23"
"000413","东旭光电","2020-12-31","A","","-144839022.96","","-3063838605.45"
"000413","东旭光电","2021-12-31","A","","-122610485.60","","-3011946119.06"
"000413","东旭光电","2022-12-31","A","","1440299855.13","","-1853732469.75"
"000418","小天鹅A","2014-12-31","A","0.00","177965089.26","-14767832.25","908408806.48"
"000418","小天鹅A","2015-12-31","A","0.00","201749610.84","0.00","1210303981.45"
"000418","小天鹅A","2016-12-31","A","0.00","200239260.71","0.00","1554025314.69"
"000418","小天鹅A","2017-12-31","A","","320623463.23","5270238.03","2048866736.50"
"000418","小天鹅A","2018-12-31","A","","119819109.77","-8349116.98","2460967201.57"
"000420","吉林化纤","2014-12-31","A","0.00","160347954.07","0.00","-69302827.36"
"000420","吉林化纤","2015-12-31","A","0.00","4315895.38","0.00","-47085968.41"
"000420","吉林化纤","2016-12-31","A","","5911191.52","","21080257.67"
"000420","吉林化纤","2017-12-31","A","","5119462.39","","91109918.83"
"000420","吉林化纤","2018-12-31","A","","","","140264773.06"
"000420","吉林化纤","2019-12-31","A","","","","97171036.97"
"000420","吉林化纤","2020-12-31","A","","","","-277357206.64"
"000420","吉林化纤","2021-12-31","A","","9525148.23","","-135272371.00"
"000420","吉林化纤","2022-12-31","A","","49628654.25","621911.59","-21209068.93"
"000422","湖北宜化","2014-12-31","A","0.00","26135456.94","0.00","23808949.58"
"000422","湖北宜化","2015-12-31","A","0.00","20085888.00","0.00","3427054.95"
"000422","湖北宜化","2016-12-31","A","","22842653.69","","-1426394748.48"
"000422","湖北宜化","2017-12-31","A","","-12383002.22","42379558.72","-4942298044.06"
"000422","*ST 宜化","2018-12-31","A","","982319671.28","-42655314.20","355584784.17"
"000422","ST 宜化","2019-12-31","A","","369293123.79","-1443236.14","30102360.08"
"000422","ST 宜化","2020-12-31","A","","262596311.44","1443236.14","113148179.36"
"000422","湖北宜化","2021-12-31","A","","102898793.37","","2298727068.54"
"000422","湖北宜化","2022-12-31","A","","604938897.41","","2952471462.67"
"000423","东阿阿胶","2014-12-31","A","0.00","101706257.82","0.00","1592152021.25"
"000423","东阿阿胶","2015-12-31","A","0.00","151879167.87","0.00","1920272977.41"
"000423","东阿阿胶","2016-12-31","A","0.00","106920968.15","0.00","2163054507.24"
"000423","东阿阿胶","2017-12-31","A","","119644760.22","","2409698087.41"
"000423","东阿阿胶","2018-12-31","A","","165421048.10","","2440563715.27"
"000423","东阿阿胶","2019-12-31","A","","68725056.60","3062012.39","-513059039.95"
"000423","东阿阿胶","2020-12-31","A","","16382263.09","1435766.08","152080738.82"
"000423","东阿阿胶","2021-12-31","A","","64164441.93","2731869.94","568753674.07"
"000423","东阿阿胶","2022-12-31","A","","35115182.29","-5050048.93","914920504.02"
"000425","徐工机械","2014-12-31","A","0.00","36925022.80","0.00","451265701.95"
"000425","徐工机械","2015-12-31","A","0.00","862233845.44","0.00","-142252197.50"
"000425","徐工机械","2016-12-31","A","","199058960.03","","119156366.10"
"000425","徐工机械","2017-12-31","A","","283966890.83","","1140067815.52"
"000425","徐工机械","2018-12-31","A","","380314805.11","","2109467556.78"
"000425","徐工机械","2019-12-31","A","","653321774.18","635501.66","4083146794.44"
"000425","徐工机械","2020-12-31","A","","806281447.76","34887513.51","4274845775.09"
"000425","徐工机械","2021-12-31","A","","654610361.56","206198104.81","6181912556.33"
"000425","徐工机械","2022-12-31","A","","194353649.11","-70290167.89","5082831501.00"
"000488","晨鸣纸业","2014-12-31","A","0.00","69035637.19","6856815.32","166038715.75"
"000488","晨鸣纸业","2015-12-31","A","0.00","88715519.36","-19078538.02","1107850313.45"
"000488","晨鸣纸业","2016-12-31","A","0.00","84369949.52","-20084425.90","2092404959.81"
"000488","晨鸣纸业","2017-12-31","A","","161009000.23","72999957.67","4418472020.86"
"000488","晨鸣纸业","2018-12-31","A","","248962910.68","-115464400.65","2906104418.03"
"000488","晨鸣纸业","2019-12-31","A","","174000822.89","26692741.61","1583669508.40"
"000488","晨鸣纸业","2020-12-31","A","","173363537.49","6261281.76","1584721490.08"
"000488","晨鸣纸业","2021-12-31","A","","-69578338.92","-77073812.67","2281458984.38"
"000488","晨鸣纸业","2022-12-31","A","","-76042787.35","-25253928.81","156218663.96"
"000505","珠江控股","2014-12-31","A","0.00","4566600.41","0.00","-194875867.28"
"000505","珠江控股","2015-12-31","A","0.00","126095109.54","0.00","-112528678.76"
"000505","*ST 珠江","2016-12-31","A","","210928088.57","","126466154.64"
"000505","珠江控股","2017-12-31","A","","25583710.12","12934641.69","277972809.11"
"000505","京粮控股","2018-12-31","A","","30981211.92","2009952.25","252555374.96"
"000505","京粮控股","2019-12-31","A","","20096434.74","11943192.05","250640602.60"
"000505","京粮控股","2020-12-31","A","","37875880.38","-16467791.36","286481348.75"
"000505","京粮控股","2021-12-31","A","","44039777.71","-66667420.88","313746457.63"
"000505","京粮控股","2022-12-31","A","","13303071.64","61032222.12","221098777.65"
"000510","金路集团","2014-12-31","A","0.00","208033.03","0.00","-183784576.72"
"000510","*ST 金路","2015-12-31","A","0.00","87633245.40","0.00","-65499334.72"
"000510","金路集团","2016-12-31","A","","-1299731.44","","47311394.01"
"000510","金路集团","2017-12-31","A","","515443.76","","59787038.38"
"000510","金路集团","2018-12-31","A","","3300947.24","","109606672.20"
"000510","新金路","2019-12-31","A","","-5436703.65","","70544623.88"
"000510","新金路","2020-12-31","A","","26281762.70","","121357866.87"
"000510","新金路","2021-12-31","A","","7497278.10","-24446830.00","435891738.99"
"000510","新金路","2022-12-31","A","","19220374.60","-54000.00","56537836.30"
"000511","烯碳新材","2014-12-31","A","0.00","18397113.46","-54463.60","-274133473.11"
"000511","烯碳新材","2015-12-31","A","0.00","132362186.33","-33804.99","-19674042.35"
"000511","*ST 烯碳","2016-12-31","A","","192976260.33","2438928.50","-357778485.14"
"000511","*ST 烯碳","2017-12-31","A","","43040059.47","-2232342.42","104337111.11"
"000513","丽珠集团","2014-12-31","A","0.00","8223836.93","-4939260.57","584508541.09"
"000513","丽珠集团","2015-12-31","A","0.00","6776422.79","-182343.23","692799082.87"
"000513","丽珠集团","2016-12-31","A","","1340566.47","-930399.32","876480274.44"
