"Stkcd","ShortName","Accper","Typrep","F050501B"
"000021","深科技","2020-12-31","A","0.118988"
"000021","深科技","2020-12-31","B","-0.073455"
"000021","深科技","2021-12-31","A","0.072692"
"000021","深科技","2021-12-31","B","-0.005277"
"000021","深科技","2022-12-31","A","0.057579"
"000021","深科技","2022-12-31","B","0.033294"
"000021","深科技","2023-12-31","A","0.064501"
"000021","深科技","2023-12-31","B","0.027322"
"000030","富奥股份","2014-12-31","A","0.141197"
"000030","富奥股份","2014-12-31","B","0.148126"
"000030","富奥股份","2015-12-31","A","0.098955"
"000030","富奥股份","2015-12-31","B","0.103554"
"000030","富奥股份","2016-12-31","A","0.117164"
"000030","富奥股份","2016-12-31","B","0.135930"
"000030","富奥股份","2017-12-31","A","0.129481"
"000030","富奥股份","2017-12-31","B","0.143543"
"000030","富奥股份","2018-12-31","A","0.122570"
"000030","富奥股份","2018-12-31","B","0.136858"
"000030","富奥股份","2019-12-31","A","0.118497"
"000030","富奥股份","2019-12-31","B","0.128670"
"000030","富奥股份","2020-12-31","A","0.109789"
"000030","富奥股份","2020-12-31","B","0.112898"
"000030","富奥股份","2021-12-31","A","0.091441"
"000030","富奥股份","2021-12-31","B","0.110897"
"000030","富奥股份","2022-12-31","A","0.055304"
"000030","富奥股份","2022-12-31","B","0.072678"
"000030","富奥股份","2023-12-31","A","0.083388"
"000030","富奥股份","2023-12-31","B","0.064855"
"000039","中集集团","2014-12-31","A","0.111206"
"000039","中集集团","2014-12-31","B","0.133652"
"000039","中集集团","2015-12-31","A","0.064008"
"000039","中集集团","2015-12-31","B","0.059634"
"000039","中集集团","2016-12-31","A","0.018781"
"000039","中集集团","2016-12-31","B","0.130375"
"000039","中集集团","2017-12-31","A","0.073048"
"000039","中集集团","2017-12-31","B","0.005707"
"000039","中集集团","2018-12-31","A","0.077638"
"000039","中集集团","2018-12-31","B","0.086572"
"000039","中集集团","2019-12-31","A","0.045607"
"000039","中集集团","2019-12-31","B","0.298358"
"000039","中集集团","2020-12-31","A","0.111631"
"000039","中集集团","2020-12-31","B","0.108871"
"000039","中集集团","2021-12-31","A","0.146731"
"000039","中集集团","2021-12-31","B","0.126870"
"000039","中集集团","2022-12-31","A","0.073435"
"000039","中集集团","2022-12-31","B","0.254024"
"000039","中集集团","2023-12-31","A","0.028831"
"000039","中集集团","2023-12-31","B","0.077643"
"000045","深纺织A","2014-12-31","A","-0.051721"
"000045","深纺织A","2014-12-31","B","0.018229"
"000045","深纺织A","2015-12-31","A","0.003908"
"000045","深纺织A","2015-12-31","B","0.024014"
