"Symbol","ShortName","EndDate","EquityNature"
"000060","中金岭南","2022-12-31","国企"
"000063","中兴通讯","2014-12-31","民营"
"000063","中兴通讯","2015-12-31","民营"
"000063","中兴通讯","2016-12-31","民营"
"000063","中兴通讯","2017-12-31","民营"
"000063","中兴通讯","2018-12-31","民营"
"000063","中兴通讯","2019-12-31","民营"
"000063","中兴通讯","2020-12-31","民营"
"000063","中兴通讯","2021-12-31","民营"
"000063","中兴通讯","2022-12-31","民营"
"000063","中兴通讯","2023-12-31","民营"
"000066","长城电脑","2014-12-31","国企"
"000066","长城电脑","2015-12-31","国企"
"000066","长城电脑","2016-12-31","国企"
"000066","中国长城","2017-12-31","国企"
"000066","中国长城","2018-12-31","国企"
"000066","中国长城","2019-12-31","国企"
"000066","中国长城","2020-12-31","国企"
"000066","中国长城","2021-12-31","国企"
"000066","中国长城","2022-12-31","国企"
"000070","特发信息","2014-12-31","国企"
"000070","特发信息","2015-12-31","国企"
"000070","特发信息","2016-12-31","国企"
"000070","特发信息","2017-12-31","国企"
"000070","特发信息","2018-12-31","国企"
"000070","特发信息","2019-12-31","国企"
"000070","特发信息","2020-12-31","国企"
"000070","特发信息","2021-12-31","国企"
"000070","特发信息","2022-12-31","国企"
"000100","TCL集团","2014-12-31",""
"000100","TCL集团","2015-12-31",""
"000100","TCL集团","2016-12-31",""
"000100","TCL集团","2017-12-31",""
"000100","TCL集团","2018-12-31",""
"000100","TCL集团","2019-12-31",""
"000100","TCL科技","2020-12-31",""
"000100","TCL科技","2021-12-31",""
"000100","TCL科技","2022-12-31",""
"000153","丰原药业","2014-12-31","民营"
"000153","丰原药业","2015-12-31","民营"
"000153","丰原药业","2016-12-31","民营"
"000153","丰原药业","2017-12-31","民营"
"000153","丰原药业","2018-12-31","民营"
"000153","丰原药业","2019-12-31","民营"
"000153","丰原药业","2020-12-31","民营"
"000153","丰原药业","2021-12-31","民营"
"000153","丰原药业","2022-12-31","民营"
"000157","中联重科","2014-12-31",""
"000157","中联重科","2015-12-31",""
"000157","中联重科","2016-12-31",""
"000157","中联重科","2017-12-31",""
"000157","中联重科","2018-12-31",""
"000157","中联重科","2019-12-31",""
"000157","中联重科","2020-12-31",""
"000157","中联重科","2021-12-31",""
"000157","中联重科","2022-12-31",""
"000301","东方市场","2014-12-31","国企"
"000301","东方市场","2015-12-31","国企"
"000301","东方市场","2016-12-31","国企"
"000301","东方市场","2017-12-31","国企"
"000301","东方盛虹","2018-12-31","民营"
"000301","东方盛虹","2019-12-31","民营"
"000301","东方盛虹","2020-12-31","民营"
"000301","东方盛虹","2021-12-31","民营"
"000301","东方盛虹","2022-12-31","民营"
"000333","美的集团","2014-12-31","民营"
"000333","美的集团","2015-12-31","民营"
"000333","美的集团","2016-12-31","民营"
"000333","美的集团","2017-12-31","民营"
"000333","美的集团","2018-12-31","民营"
"000333","美的集团","2019-12-31","民营"
"000333","美的集团","2020-12-31","民营"
"000333","美的集团","2021-12-31","民营"
"000333","美的集团","2022-12-31","民营"
"000338","潍柴动力","2014-12-31","国企"
"000338","潍柴动力","2015-12-31","国企"
"000338","潍柴动力","2016-12-31","国企"
"000338","潍柴动力","2017-12-31","国企"
"000338","潍柴动力","2018-12-31","国企"
"000338","潍柴动力","2019-12-31","国企"
"000338","潍柴动力","2020-12-31","国企"
"000338","潍柴动力","2021-12-31","国企"
"000338","潍柴动力","2022-12-31","国企"
"000400","许继电气","2014-12-31","国企"
"000400","许继电气","2015-12-31","国企"
"000400","许继电气","2016-12-31","国企"
"000400","许继电气","2017-12-31","国企"
"000400","许继电气","2018-12-31","国企"
"000400","许继电气","2019-12-31","国企"
"000400","许继电气","2020-12-31","国企"
"000400","许继电气","2021-12-31","国企"
"000400","许继电气","2022-12-31","国企"
"000401","冀东水泥","2014-12-31","国企"
"000401","冀东水泥","2015-12-31","国企"
"000401","冀东水泥","2016-12-31","国企"
"000401","冀东水泥","2017-12-31","国企"
"000401","冀东水泥","2018-12-31","国企"
"000401","冀东水泥","2019-12-31","国企"
"000401","冀东水泥","2020-12-31","国企"
"000401","冀东水泥","2021-12-31","国企"
"000401","冀东水泥","2022-12-31","国企"
"000403","ST 生化","2014-12-31","民营"
"000403","ST 生化","2015-12-31","民营"
"000403","ST 生化","2016-12-31","民营"
"000403","ST 生化","2017-12-31","民营"
"000403","振兴生化","2018-12-31",""
"000403","双林生物","2019-12-31",""
"000403","双林生物","2020-12-31",""
"000403","派林生物","2021-12-31",""
"000403","派林生物","2022-12-31",""
"000404","华意压缩","2014-12-31","国企"
"000404","华意压缩","2015-12-31","国企"
"000404","华意压缩","2016-12-31","国企"
"000404","华意压缩","2017-12-31","国企"
"000404","长虹华意","2018-12-31","国企"
"000404","长虹华意","2019-12-31","国企"
"000404","长虹华意","2020-12-31","国企"
"000404","长虹华意","2021-12-31","国企"
"000404","长虹华意","2022-12-31","国企"
"000408","金谷源","2014-12-31","民营"
"000408","金谷源","2015-12-31","民营"
"000408","*ST 金源","2016-12-31","民营"
"000408","藏格控股","2017-12-31","民营"
"000408","藏格控股","2018-12-31","民营"
"000408","藏格控股","2019-12-31","民营"
"000408","*ST 藏格","2020-12-31","民营"
"000408","藏格矿业","2021-12-31","民营"
"000408","藏格矿业","2022-12-31","民营"
"000410","沈阳机床","2014-12-31","国企"
"000410","沈阳机床","2015-12-31","国企"
"000410","沈阳机床","2016-12-31","国企"
"000410","*ST 沈机","2017-12-31","国企"
"000410","沈阳机床","2018-12-31","国企"
"000410","*ST 沈机","2019-12-31","国企"
"000410","*ST 沈机","2020-12-31","国企"
"000410","ST 沈机","2021-12-31","国企"
"000410","*ST 沈机","2022-12-31","国企"
"000413","东旭光电","2014-12-31","民营"
"000413","东旭光电","2015-12-31","民营"
"000413","东旭光电","2016-12-31","民营"
"000413","东旭光电","2017-12-31","民营"
"000413","东旭光电","2018-12-31","民营"
"000413","东旭光电","2019-12-31","民营"
"000413","东旭光电","2020-12-31","民营"
"000413","东旭光电","2021-12-31","民营"
"000413","东旭光电","2022-12-31","民营"
"000418","小天鹅A","2014-12-31","民营"
"000418","小天鹅A","2015-12-31","民营"
"000418","小天鹅A","2016-12-31","民营"
"000418","小天鹅A","2017-12-31","民营"
"000418","小天鹅A","2018-12-31","民营"
"000420","吉林化纤","2014-12-31","国企"
"000420","吉林化纤","2015-12-31","国企"
"000420","吉林化纤","2016-12-31","国企"
"000420","吉林化纤","2017-12-31","国企"
"000420","吉林化纤","2018-12-31","国企"
"000420","吉林化纤","2019-12-31","国企"
"000420","吉林化纤","2020-12-31","国企"
"000420","吉林化纤","2021-12-31","国企"
"000420","吉林化纤","2022-12-31","国企"
"000422","湖北宜化","2014-12-31","国企"
"000422","湖北宜化","2015-12-31","国企"
"000422","湖北宜化","2016-12-31","国企"
"000422","湖北宜化","2017-12-31","国企"
"000422","*ST 宜化","2018-12-31","国企"
"000422","ST 宜化","2019-12-31","国企"
"000422","ST 宜化","2020-12-31","国企"
"000422","湖北宜化","2021-12-31","国企"
"000422","湖北宜化","2022-12-31","国企"
"000423","东阿阿胶","2014-12-31","国企"
"000423","东阿阿胶","2015-12-31","国企"
"000423","东阿阿胶","2016-12-31","国企"
"000423","东阿阿胶","2017-12-31","国企"
"000423","东阿阿胶","2018-12-31","国企"
"000423","东阿阿胶","2019-12-31","国企"
"000423","东阿阿胶","2020-12-31","国企"
"000423","东阿阿胶","2021-12-31","国企"
"000423","东阿阿胶","2022-12-31","国企"
"000425","徐工机械","2014-12-31","国企"
"000425","徐工机械","2015-12-31","国企"
"000425","徐工机械","2016-12-31","国企"
"000425","徐工机械","2017-12-31","国企"
"000425","徐工机械","2018-12-31","国企"
"000425","徐工机械","2019-12-31","国企"
"000425","徐工机械","2020-12-31","国企"
"000425","徐工机械","2021-12-31","国企"
"000425","徐工机械","2022-12-31","国企"
"000488","晨鸣纸业","2014-12-31","国企"
"000488","晨鸣纸业","2015-12-31","国企"
